x_min,x_max,ek_total,ek_var,ek_mean,ne_total,ne_mean,ne_var,ed_total,ed_mean,ed_var
18.0,18.8,4.391409241212747e-08,1.8597415844294745e-27,9.368339714587193e-15,733458.1251435278,0.15647106669728592,0.20926162094144934,1.7052414394560658e-08,3.63784840417294e-15,1.0730136222991166e-27
18.8,19.6,5.17650708064054e-08,1.899613979154409e-27,1.1043215105366485e-14,771193.4252117196,0.16452126404516684,0.2236509755716778,2.101541040624454e-08,4.483287553332169e-15,1.1283570299797247e-27
19.6,20.4,6.084050481157215e-08,2.400123371026875e-27,1.2979307693135391e-14,811889.1513632364,0.17320301895749043,0.23702575988842814,2.5529295719938394e-08,5.446249753586857e-15,1.579221422585242e-27
20.4,21.2,7.049074202438733e-08,2.2221145654178962e-27,1.503802496520263e-14,977536.8597255828,0.20854119674145766,0.30609659953161117,3.5599164657875296e-08,7.59448846034673e-15,1.8946945667101347e-27
21.2,22.0,2.986663170595148e-08,8.660094768392377e-28,6.371548097269649e-15,451505.98920390307,0.09632127769683266,0.13333655955434454,1.1645778599600964e-08,2.4844327679148725e-15,5.4216454490216255e-28
22.0,23.0,3.923006960868715e-08,5.661234054743959e-28,6.749259287516068e-15,1057421.8435256183,0.1819220375958053,0.3357564832111375,2.706092073191958e-08,4.655642276459283e-15,8.856396599971833e-28
23.0,23.8,2.0901552825507054e-08,5.832966254973035e-28,4.458997936108172e-15,744880.7343486282,0.15890788999437402,0.4656975661437822,2.438141447948256e-08,5.201368422289613e-15,1.9513373084919925e-27
23.8,24.8,2.5554489024859813e-09,6.859153115418375e-30,4.3497002595506063e-16,172642.33477950044,0.029385929324170286,0.047023476281219174,1.2113597975327018e-09,2.0618890170769392e-16,5.783498562657021e-30
24.8,25.4,6.561928325366695e-10,1.3069171361069053e-30,1.8748366643904842e-16,53239.26734581576,0.015211219241661645,0.02161253955660409,2.339189639362071e-10,6.683398969605918e-17,7.053048215927173e-31
