x_min,x_max,1e_width(um),z_left(um),z_right(um),total_density,ek_total_full,energy_variance_full,energy_mean_full,ek_total_1e,energy_variance_1e,energy_mean_1e,ne_total_full,ne_mean_full,ne_var_full,ne_total_1e,ne_mean_1e,ne_var_1e,ed_total_full,ed_mean_full,ed_var_full,ed_total_1e,ed_mean_1e,ed_var_1e
17.3,18,7.999951951951951,-3.912000000000001,4.0879519519519505,1898920.1854241837,1.1208237590752024e-07,2.9805997080974865e-28,3.3964356335612195e-15,7.399939452513054e-08,4.083343466770908e-28,4.484811789401851e-15,2575250.4408713644,0.07803789214761711,0.105827795330001,1898920.1854241854,0.11508607184389003,0.15490705839666855,3.9128332195758e-08,1.185707036235091e-15,1.56138011554057e-28,2.7143872691713158e-08,1.6450831934371612e-15,2.322831608590086e-28
18,19,7.872208208208208,-3.912000000000001,3.960208208208207,3787278.898799116,1.7664825375262122e-07,3.067925969411246e-28,3.852826752003778e-15,1.2993344922747093e-07,4.315088929154562e-28,5.748362933651148e-15,4600571.060302151,0.100341797210455,0.1480640321377333,3787278.898799115,0.16755234137702818,0.24393881775123868,6.970510233308005e-08,1.5203189237078246e-15,1.789041843225712e-28,5.510665437149343e-08,2.437963828944862e-15,2.8393499201415693e-28
19,19.6,4.7792112112112095,-2.5840000000000005,2.195211211211209,914120.7590695368,8.70312361250359e-08,9.096198246197203e-28,5.106567865108015e-15,5.823353515008605e-08,2.5180661683719403e-27,1.1427623489059063e-14,1473670.6981825097,0.08646779898976177,0.12118053203284268,914120.7590695363,0.17938508852770718,0.24523171264721466,3.4683122922971767e-08,2.0350362567019752e-15,5.753756249134592e-28,2.522674204399711e-08,4.950441514351189e-15,1.703141314790612e-27
19.6,20.5,6.409577577577577,-3.0480000000000005,3.361577577577577,2594904.3079405664,1.608456366219254e-07,5.817846884696075e-28,4.775134681805172e-15,1.3628005213808226e-07,1.278839943749455e-27,1.008937489861635e-14,3137268.148987342,0.09313823028700101,0.1414778235276303,2594904.307940564,0.1921114791056858,0.2819371601211035,7.749798707614674e-08,2.3007358709223e-15,5.141080062936477e-28,6.948385979570939e-08,5.144177008176432e-15,1.213245167063767e-27
20.5,21.2,5.41857057057057,-2.5840000000000005,2.8345705705705697,1855874.0545993003,9.464667448582309e-08,5.795618461507066e-28,4.230208031010239e-15,8.399622795696056e-08,1.550769158372183e-27,1.1074304266061107e-14,2128169.5509017506,0.09511797402796776,0.1599896161204711,1855874.0545992972,0.24468377283146778,0.38812108036206555,5.1755225595081956e-08,2.3131860907786696e-15,5.2773997832508085e-28,4.810493335473972e-08,6.3422927627410616e-15,1.4903684302377944e-27
21.2,22,6.067827827827827,-3.0640000000000005,3.0038278278278265,1466921.4405408015,8.39088878152817e-08,4.722881346189819e-28,2.9441715022905862e-15,7.941092401327683e-08,1.1770754768151156e-27,7.332495292084656e-15,1589748.3048136984,0.055780642274164856,0.09488658360588943,1466921.440540801,0.1354498098375624,0.22407003775337467,4.0334446938501725e-08,1.4152437522281307e-15,3.5845505405060973e-28,3.888707587876767e-08,3.590681059904679e-15,9.198705005695987e-28
22,23,2.581621621621621,-1.2720000000000007,1.3096216216216203,277858.7310117693,3.596904797786454e-08,6.263413248128929e-28,2.387431831797726e-15,2.920063640283563e-08,3.379742279182759e-27,1.196408084380808e-14,465742.84328436083,0.030913503470354497,0.049820498228140275,277858.7310117691,0.11384424212959648,0.186479646173121,1.9287445342953935e-08,1.2801968235068322e-15,6.449959476674736e-28,1.683747131860139e-08,6.898646498042928e-15,3.76150349768858e-27
23,24,1.9919919919919915,-1.0000000000000007,0.9919919919919908,336552.3145232443,6.350027599631154e-09,2.66210959010722e-29,5.404278808196727e-16,4.183036742405043e-09,1.5956513122022404e-28,2.8480250161055613e-15,461845.85365423665,0.03930603009823291,0.11518780665934375,336552.31452324404,0.22914200137752785,0.7463581399015828,7.270228471614704e-09,6.187428486480599e-16,1.2707738146306936e-28,6.318266735290289e-09,4.30179862828275e-15,9.674063373226142e-28
24,24.5,2.983015015015015,-1.4640000000000009,1.5190150150150141,216005.2302877771,2.8657310242934638e-09,4.7237118112695165e-30,3.2605882629348776e-16,2.685361462036541e-09,2.2252017807035123e-29,1.6338857346820502e-15,230086.78799090048,0.026178949595050686,0.04609145771440482,216005.23028777706,0.1314265767842868,0.22117909804438812,1.593900877736982e-09,1.8135178947968848e-16,5.05343662079544e-30,1.5362619490003339e-09,9.347257412798654e-16,2.592801536331909e-29
