45,x_min,x_max,无平滑,平滑,,,55,x_min,x_max,无平滑,平滑
,17.3,18,566,673,,,,18,18.8,542,560
,18,19,838,854,,,,18.8,19.6,958,969
,19,19.6,641,643,,,,19.6,20.5,360,375
,19.6,20.5,765,768,,,,20.5,21.3,584,589
,20.5,21.2,774,784,,,,21.3,22,572,563
,21.2,22,608,618,,,,22,23,679,686
,22,23,551,575,,,,23,23.8,205,222
,23,24,300,316,,,,23.8,24.6,368,405
,24,24.5,217,285,,,,,,533.5,546.125
,,,584.444444444445,612.888888888889,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
均值,,,,,,,,,,,
均值,,,,,,,,,,,
,,,,,,,,,,,
35,x_min,x_max,无平滑,平滑,密度数据,无平滑,平滑,,,,
,18,18.8,832,871,,950,995,,,,
,18.8,19.6,763,800,,774,795,,,,
,19.6,20.4,571,592,,1056,1058,,,,
,20.4,21.2,750,769,,987,998,,,,
,21.2,22,676,829,,819,840,,,,
,22,23,493,506,,602,625,,,,
,23,23.8,506,520,,391,418,,,,
,23.8,24.8,419,449,,575,588,,,,
,24.8,25.4,149,218,,273,357,,,,
均值,18,25.4,573.222222222222,617.111111111111,,,,,,,
均值,18,24,655.857142857143,698.142857142857,,,,,,,
,,,,,,,,,,,
15,x_min,x_max,无平滑,平滑,密度数据,无平滑,平滑,,,,
,17.3,18,201,256,,0,0,,,,
,18,18.8,647,658,,982,985,,,,
,18.8,19.8,432,507,,851,857,,,,
,19.8,20.4,623,645,,0,0,,,,
,20.4,21.4,504,543,,645,664,,,,
,21.4,22.2,592,611,,924,934,,,,
,22.2,22.8,470,486,,524,528,,,,
,22.8,23.7,484,499,,679,679,,,,
,23.7,24.8,843,853,,1163,1180,,,,
,24.8,25.8,282,308,,345,343,,,,
均值,17.3,25.8,507.8,536.6,,611.3,617,,,,
均值,18,24,536,564.142857142857,,657.857142857143,663.857142857143,,,,
